         103506 function calls (102782 primitive calls) in 28.232 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.007    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\re.py:249(compile)
       11    0.000    0.000    0.007    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\sre_compile.py:783(compile)
        1    0.000    0.000    0.007    0.007 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\sugar\context.py:324(socket)
        1    0.007    0.007    0.007    0.007 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\sugar\socket.py:131(__init__)
       96    0.001    0.000    0.006    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:1016(__init__)
       17    0.000    0.000    0.006    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:598(_frozen_get_del_attr)
    57/43    0.000    0.000    0.005    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:401(__getitem__)
       43    0.000    0.000    0.005    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:483(Union)
       11    0.000    0.000    0.004    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\sre_parse.py:944(parse)
    28/11    0.000    0.000    0.004    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\sre_parse.py:436(_parse_sub)
    29/11    0.002    0.000    0.004    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\sre_parse.py:494(_parse)
       11    0.000    0.000    0.004    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:527(_init_fn)
       96    0.002    0.000    0.004    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.004    0.004 Camera.py:47(setup_routes)
        3    0.000    0.000    0.004    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\scaffold.py:360(decorator)
       32    0.000    0.000    0.003    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:1138(__getitem__)
       45    0.000    0.000    0.003    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:1147(copy_with)
      297    0.000    0.000    0.003    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\ast.py:380(walk)
       17    0.000    0.000    0.003    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:587(_repr_fn)
       11    0.000    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\sre_compile.py:622(_code)
      279    0.000    0.000    0.002    0.000 {method 'extend' of 'collections.deque' objects}
      100    0.001    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\typing_extensions.py:3178(_collect_type_vars)
      803    0.001    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:986(__setattr__)
        1    0.002    0.002    0.002    0.002 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\sugar\context.py:90(__init__)
       25    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       17    0.000    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:623(_cmp_fn)
      209    0.001    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:146(_type_check)
       44    0.000    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\json\encoder.py:182(encode)
    55/11    0.001    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\sre_compile.py:87(_compile)
       25    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      540    0.001    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\ast.py:267(iter_child_nodes)
        1    0.000    0.000    0.002    0.002 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_state.py:1(<module>)
       14    0.000    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:523(Optional)
      751    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
       44    0.002    0.000    0.002    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\json\encoder.py:204(iterencode)
       96    0.001    0.000    0.001    0.000 {built-in method time.time}
       96    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:947(__init__)
       52    0.001    0.000    0.001    0.000 Camera.py:336(draw_landmarks)
       44    0.001    0.000    0.001    0.000 Camera.py:332(<genexpr>)
        1    0.000    0.000    0.001    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_writers.py:1(<module>)
6044/6042    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       52    0.001    0.000    0.001    0.000 Camera.py:90(update_frame)
       13    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:1223(__getitem__)
       10    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\routing\rules.py:300(_prefix_names)
       81    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FF86C2C5D50}
        1    0.000    0.000    0.001    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_connection.py:151(Connection)
      148    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:515(<genexpr>)
      803    0.001    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:935(_is_dunder)
       28    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       20    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\abc.py:105(__new__)
        4    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\enum.py:180(__new__)
        1    0.000    0.000    0.001    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_util.py:1(<module>)
     1484    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_receivebuffer.py:1(<module>)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
        3    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:2267(__new__)
        3    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:2247(_make_nmtuple)
       52    0.001    0.000    0.001    0.000 Camera.py:436(<genexpr>)
        1    0.000    0.000    0.001    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\wsproto\extensions.py:14(Extension)
        1    0.000    0.000    0.001    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\mediapipe\python\solution_base.py:373(_initialize_graph_interface)
      156    0.001    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\mediapipe\python\solution_base.py:573(_get_packet_content)
      201    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\typing_extensions.py:3165(_is_unpacked_typevartuple)
     1482    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       81    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:1143(<genexpr>)
       34    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:722(_get_field)
       45    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\enum.py:89(__setitem__)
      874    0.000    0.000    0.001    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\ast.py:255(iter_fields)
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
