         7255 function calls (7139 primitive calls) in 7.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.031    0.031 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\requests\sessions.py:750(merge_environment_settings)
        1    0.000    0.000    0.031    0.031 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\requests\utils.py:816(get_environ_proxies)
        2    0.031    0.015    0.031    0.015 {built-in method winreg.OpenKey}
        2    0.000    0.000    0.030    0.015 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\genericpath.py:16(exists)
        2    0.000    0.000    0.022    0.011 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:950(getaddrinfo)
        2    0.021    0.011    0.021    0.011 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.016    0.016 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\urllib\request.py:2733(getproxies)
        1    0.000    0.000    0.016    0.016 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\urllib\request.py:2684(getproxies_registry)
        6    0.016    0.003    0.016    0.003 {method 'settimeout' of '_socket.socket' objects}
       15    0.016    0.001    0.016    0.001 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.016    0.016    0.016    0.016 {built-in method io.open_code}
        1    0.000    0.000    0.016    0.016 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:386(recv)
        1    0.000    0.000    0.016    0.016 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:408(recv_data)
        1    0.000    0.000    0.016    0.016 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:426(recv_data_frame)
        1    0.000    0.000    0.016    0.016 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:477(recv_frame)
        1    0.000    0.000    0.016    0.016 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_abnf.py:371(recv_frame)
        2    0.000    0.000    0.015    0.008 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_abnf.py:407(recv_strict)
        2    0.000    0.000    0.015    0.008 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:579(_recv)
        4    0.000    0.000    0.015    0.004 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:498(close)
        3    0.000    0.000    0.015    0.005 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:494(_real_close)
        3    0.015    0.005    0.015    0.005 {function socket.close at 0x000001E49A53FBE0}
        1    0.015    0.015    0.015    0.015 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\sugar\context.py:243(term)
        1    0.000    0.000    0.015    0.015 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.015    0.015 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_http.py:163(_get_addrinfo_list)
        1    0.000    0.000    0.015    0.015 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_abnf.py:328(recv_header)
        1    0.000    0.000    0.015    0.015 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\requests\utils.py:755(should_bypass_proxies)
        1    0.000    0.000    0.015    0.015 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\requests\utils.py:115(proxy_bypass)
        1    0.000    0.000    0.015    0.015 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\requests\utils.py:77(proxy_bypass_registry)
        1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.006    0.006 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\sugar\context.py:324(socket)
        1    0.006    0.006    0.006    0.006 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\sugar\socket.py:131(__init__)
        2    0.000    0.000    0.003    0.002 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_abnf.py:238(format)
        2    0.000    0.000    0.003    0.002 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_abnf.py:273(_get_masked)
        2    0.003    0.001    0.003    0.002 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_abnf.py:281(mask)
